#base "_base_ability_tactical.txt"

WeaponData
{
	// General
	"printname"   									"#WPN_GRENADE_ELECTRIC_SMOKE"
	"shortprintname"								"#WPN_GRENADE_ELECTRIC_SMOKE_SHORT"
	"description" 									"#WPN_GRENADE_ELECTRIC_SMOKE_DESC"
	"longdesc" 										"#WPN_GRENADE_ELECTRIC_SMOKE_LONGDESC"

	"menu_icon"										"rui/pilot_loadout/ordnance/electric_smoke_menu"
	"hud_icon"										"rui/hud/tactical_icons/tactical_catalyst"

	"fire_mode"   									"offhand"
	"offhand_cancelled_by_melee"					"1"
	"offhand_active_slot"                           "altHand"
//	"offhand_active_slot"                           "mainHand"
	"is_toss_weapon"								"1"
	"minimap_reveal_distance"						"32000"
	"leveled_pickup"								"1"
	"offhand_default_inventory_slot"				"0"

    "does_not_interrupt_cloak"						"1"
    "instant_swap_to"								"0"

    "OnWeaponActivate"                              "OnWeaponActivate_ability_spike_strip"
    "OnWeaponDeactivate"                            "OnWeaponDeactivate_ability_spike_strip"
    "OnWeaponPrimaryAttack"							"OnWeaponPrimaryAttack_ability_spike_strip"
	"OnWeaponTossReleaseAnimEvent"					"OnWeaponTossReleaseAnimEvent_ability_spike_strip"
	"OnWeaponTossPrep"								"Grenade_OnWeaponTossPrep"
	"OnWeaponDeactivate"							"Grenade_OnWeaponDeactivate"
	"OnProjectileCollision"							"OnProjectileCollision_ability_spike_strip"
	"OnWeaponRegenEnd"                              "OnWeaponRegenEndGeneric"
	"OnClientAnimEvent"								"OnClientAnimEvent_ability_spike_strip"

	// Menu Stats

	// Models
	"viewmodel"        								"mdl/weapons/empty_handed/ptpov_catalyst_resin_shot.rmdl"
	//"viewmodel"										"mdl/Weapons/bangalore_rocketpod/ptpov_bangalore_rocketpod.rmdl"
//	"playermodel"									"mdl/weapons/empty_handed/w_empty_handed_human.rmdl"
	"projectilemodel"								"mdl/weapons_r5/misc_fuse_tactical_grenade/w_fuse_tactical_grenade_projectile_large.rmdl"

    "show_grenade_indicator"                        "0"
    "show_grenade_indicator_to_owner"               "0"

    "zoom_effects"									"0"

	// Effects
	"impact_effect_table" 							"none"
	"bounce_effect_table"							"spike_strip_impacts"
	"projectile_trail_effect_0_1p"					"P_ferro_tac_projectile"
    "projectile_trail_effect_0_3p"					"P_ferro_tac_projectile"
	"vortex_absorb_effect"							"wpn_vortex_projectile_frag_FP"
	"vortex_absorb_effect_third_person"				"wpn_vortex_projectile_frag"
	"vortex_absorb_sound"							"Vortex_Shield_AbsorbBulletLarge"
	"vortex_absorb_sound_1p_vs_3p"					"Vortex_Shield_AbsorbBulletLarge_1P_VS_3P"
	"projectile_adjust_to_gun_barrel"				"0"
	"projectile_adjust_to_hand"						"1"
	"grenade_orient_to_velocity"					"1"
	"grenade_arc_indicator_effect_first"			"P_arc_blue"
	"grenade_arc_impact_indicator_effect"			"P_arc_blue_end"

	"fx_muzzle_flash_view"							"P_wpn_muzzleflash_mgl_FP_FULL"
	"fx_muzzle_flash_world"							"P_wpn_muzzleflash_mgl_FULL"
