#base "_base_assault_rifle.txt"
#base "_base_mags_energy.txt"
#base "_base_barrels_medium.txt"

WeaponData
{
	// General
	"printname"   						        "#WPN_NEMESIS"
	"shortprintname"					        "#WPN_NEMESIS_SHORT"
	"description" 						        "#WPN_NEMESIS_DESC"
	"longdesc"						            "#WPN_NEMESIS_LONGDESC"

	"weapon_type_flags"					        "WPT_PRIMARY"
	"ammo_pool_type"					        "special"

    	// UI/HUD
	"menu_icon"						            "rui/weapon_icons/r5/weapon_nemesis"
	"hud_icon"						            "rui/weapon_icons/r5/weapon_nemesis"

	"weaponSubClass"					        "rifle"
	"body_type"						            "medium"
	"fire_mode"   						        "automatic"
	"is_semi_auto"						        "0"

	"pickup_hold_prompt"  				        "Hold [USE] [WEAPONNAME]"
	"pickup_press_prompt" 				        "[USE] [WEAPONNAME]"
	"minimap_reveal_distance"			        "32000"
	"leveled_pickup"					        "1"

    "projectile_launch_speed"			        "32000"

    // Heat Decay Mechanic
    "has_heat_decay"                            "1"
    "heat_decay_delay"                          "6f"
    "heat_decay_time"                           "6f"
    "heat_per_bullet"                           "0.04167"
    "fully_heated_mod"               			"fully_heated"
    "fully_heated_effect_1p"               		"P_wpn_nem_charged_FP"
    "fully_heated_effect_3p"               		"P_wpn_nem_charged_3P"

	// Material Heat/Charge
    "entity_color_from_heat_decay"					"1"

    // We can customize what mod var to interpolate, and set start value and end value
    "heat_mod_var0"                             "burst_fire_delay"
    "heat_mod_var0_start"                       "0.31f"
    "heat_mod_var0_end"                         "0.19f"

	// Menu
	"menu_category"                             "ar"
	"menu_anim_class"                           "medium"
	"stat_damage" 						        "55"
	"stat_range"  						        "65"
	"stat_accuracy"   					        "90"
	"stat_rof"						            "80"

	// Models
	"viewmodel"   						        "mdl/techart/mshop/weapons/class/assault/nemesis/nemesis_base_v.rmdl"
	"playermodel" 						        "mdl/techart/mshop/weapons/class/assault/nemesis/nemesis_base_w.rmdl"
	"holster_type"						        "rifle"

	"chroma_color"						        "1 .8 .4"

	// Callbacks
   	"OnWeaponActivate"                          "OnWeaponActivate_Nemesis"
